2018/09/22 23:39:06.300 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2741; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.304 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=188; ExpandedTo=188 
2018/09/22 23:39:06.304 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.307 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2746); Length=6989288; CompressedTo=2646354
2018/09/22 23:39:06.312 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=168; CompressedTo=117
2018/09/22 23:39:06.313 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2738); Length=35827; CompressedTo=11237
2018/09/22 23:39:06.316 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2741); Length=44642; CompressedTo=13743
2018/09/22 23:39:06.362 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.362 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:06.363 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.369 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.410 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.412 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.412 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=188; ExpandedTo=188 
2018/09/22 23:39:06.418 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=168; CompressedTo=118
2018/09/22 23:39:06.464 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.465 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:06.466 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.472 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.497 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.498 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=72
2018/09/22 23:39:06.499 DEBUG ScheduleRunHistoryWriteQueue ScheduleRunHistoryWriteQueue - Begin Processing 46 historical values
2018/09/22 23:39:06.499 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.507 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
2018/09/22 23:39:06.529 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.HereIsVisualWorkflowHistoryDetailsMessage ; Sender=2744; Length=717; ExpandedTo=3459 
2018/09/22 23:39:06.559 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.560 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=70
2018/09/22 23:39:06.561 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.568 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=118
2018/09/22 23:39:06.574 DEBUG ScheduleRunHistoryWriteQueue ScheduleRunHistoryWriteQueue - End Processing 46 historical values
2018/09/22 23:39:06.575 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2739; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.576 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2739); Length=111; CompressedTo=70
2018/09/22 23:39:06.577 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2739; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.589 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.590 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2739); Length=23598; CompressedTo=6833
2018/09/22 23:39:06.591 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.591 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.597 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
2018/09/22 23:39:06.649 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.650 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:06.651 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.657 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.685 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.686 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.687 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.694 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=157; CompressedTo=107
2018/09/22 23:39:06.733 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.735 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=71
2018/09/22 23:39:06.742 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.749 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=167; CompressedTo=117
2018/09/22 23:39:06.787 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.788 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.788 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.797 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
2018/09/22 23:39:06.800 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2737; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.801 DEBUG 115 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2737); Length=111; CompressedTo=70
2018/09/22 23:39:06.803 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2737; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.820 DEBUG 105 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2737); Length=22935; CompressedTo=6197
2018/09/22 23:39:06.839 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.840 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=70
2018/09/22 23:39:06.841 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.847 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2742); Length=157; CompressedTo=107
2018/09/22 23:39:06.854 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.855 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.857 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.861 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
